"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Arid Archway","","U","181529","6.24","27738","8.85","99835","60.2%","53.5%","16645","50.3%","23033","51.8%","39678","51.2%","57281","54.6%","-3.4pp"
"Bristling Backwoods","","C","205185","4.60","42412","6.37","215144","83.5%","55.0%","39426","57.3%","46871","53.5%","86297","55.2%","121598","54.4%","0.8pp"
"Conduit Pylons","","C","395879","5.00","77598","7.05","433768","91.8%","55.3%","79790","55.5%","100870","56.2%","180660","55.9%","239332","54.3%","1.6pp"
"Creosote Heath","","C","197476","4.35","45701","5.93","249734","89.4%","55.9%","46448","58.5%","54145","53.8%","100593","56.0%","140966","55.6%","0.4pp"
"Eroded Canyon","","C","220308","5.20","41401","7.15","189249","76.8%","53.2%","34530","54.8%","48554","54.5%","83084","54.6%","102562","51.7%","2.9pp"
"Festering Gulch","","C","196021","4.38","49951","5.83","267029","88.1%","55.3%","48941","57.5%","61726","55.5%","110667","56.4%","146217","53.8%","2.6pp"
"Forlorn Flats","","C","214505","4.85","47850","6.61","240774","83.3%","54.9%","43898","57.0%","56963","55.1%","100861","55.9%","134170","53.8%","2.1pp"
"Jagged Barrens","","C","201593","4.57","42432","6.22","215610","84.6%","54.1%","39574","56.4%","52697","54.5%","92271","55.3%","119288","52.8%","2.5pp"
"Lonely Arroyo","","C","225035","5.24","44079","7.25","199449","75.5%","53.9%","36056","55.2%","49373","54.4%","85429","54.8%","109264","52.8%","2.0pp"
"Lush Oasis","","C","208104","4.75","46142","6.43","229740","82.2%","54.9%","42117","56.9%","55300","55.3%","97417","56.0%","124256","53.5%","2.5pp"
"Mirage Mesa","","C","351989","4.32","77530","5.99","446531","95.3%","54.8%","82882","56.5%","103893","53.0%","186775","54.6%","253379","54.7%","-0.1pp"
"Sandstorm Verge","","U","190793","6.97","23746","10.24","63659","44.2%","54.6%","10124","54.1%","14596","54.9%","24720","54.6%","37591","54.2%","0.5pp"
"Soured Springs","","C","203818","4.67","47181","6.21","239554","84.8%","54.2%","44188","56.5%","61565","56.0%","105753","56.2%","128502","52.1%","4.1pp"
"Jace Reawakened","U","M","13329","2.23","4162","2.33","17847","75.5%","49.6%","3034","48.2%","4997","52.8%","8031","51.1%","9755","48.3%","2.8pp"
"Bucolic Ranch","","U","180344","6.14","29155","8.64","109045","61.1%","56.8%","18835","56.6%","23425","55.5%","42260","56.0%","63442","56.9%","-0.9pp"
"Blooming Marsh","","R","56087","3.84","11035","5.35","48182","73.6%","53.4%","8949","55.2%","11230","52.1%","20179","53.5%","27856","53.2%","0.3pp"
"Botanical Sanctum","","R","58672","4.08","10182","5.77","38521","64.0%","52.9%","7141","55.2%","9467","52.2%","16608","53.5%","21593","52.4%","1.1pp"
"Concealed Courtyard","","R","59934","4.12","10172","5.94","39962","65.5%","53.9%","7412","56.4%","9173","52.6%","16585","54.3%","23357","53.6%","0.7pp"
"Inspiring Vantage","","R","59628","4.14","9197","5.94","34825","63.4%","53.8%","6535","54.2%","7629","51.4%","14164","52.7%","20638","54.5%","-1.8pp"
"Spirebluff Canal","","R","61387","4.30","9133","6.24","31154","58.4%","50.7%","5689","53.6%","7988","51.4%","13677","52.4%","17389","49.4%","3.0pp"
"Stoneforge Mystic","W","M","4920","3.73","799","5.01","1471","30.9%","53.6%","238","","315","","553","57.1%","917","51.4%","5.8pp"
"Brazen Borrower","U","M","2634","2.13","1140","2.23","5822","86.1%","54.2%","1049","56.6%","1639","59.4%","2688","58.3%","3098","50.4%","7.9pp"
"Desertion","U","M","3457","2.71","1082","3.03","5422","83.4%","54.1%","880","55.3%","1555","59.7%","2435","58.2%","2937","50.3%","7.9pp"
"Morbid Opportunist","B","M","2296","1.85","1168","1.92","6500","93.8%","53.6%","1088","57.5%","1636","55.7%","2724","56.4%","3764","51.5%","4.9pp"
"Port Razer","R","M","3662","2.93","539","3.70","1919","60.7%","50.3%","296","","449","","745","48.6%","1175","51.3%","-2.7pp"
"Scapeshift","G","M","7312","5.54","869","8.50","105","2.0%","","15","","34","","49","","56","",""
"Mystic Snake","UG","M","4800","3.55","988","4.52","3488","59.0%","52.7%","590","52.5%","909","57.4%","1499","55.5%","1955","50.4%","5.1pp"
"Notion Thief","UB","M","4758","3.56","906","4.65","2728","53.8%","46.2%","476","","753","49.5%","1229","46.3%","1487","46.1%","0.2pp"
"Desert","","M","4512","3.34","837","4.30","3890","79.4%","53.0%","654","52.9%","908","56.8%","1562","55.2%","2222","51.4%","3.8pp"
"Prismatic Vista","","M","3485","2.54","1054","3.07","6087","97.2%","53.5%","1167","52.2%","1430","52.8%","2597","52.5%","3472","54.2%","-1.7pp"
"Collector's Cage","W","M","7634","1.76","4999","1.76","29134","93.4%","57.7%","5180","61.5%","7338","62.7%","12518","62.2%","16565","54.2%","8.0pp"
"Grand Abolisher","W","M","18301","3.76","2512","5.35","7511","50.6%","51.8%","1237","51.1%","1707","51.5%","2944","51.3%","4568","52.1%","-0.8pp"
"Oltec Matterweaver","W","M","7805","1.82","4035","1.87","22584","91.8%","55.4%","3931","59.0%","5578","56.0%","9509","57.3%","13076","54.0%","3.2pp"
"Rest in Peace","W","M","29416","6.00","3593","9.30","106","0.5%","","16","","18","","34","","72","",""
"Esoteric Duplicator","U","M","25684","5.26","3209","8.08","1501","7.9%","45.3%","267","","418","","685","44.8%","807","45.6%","-0.8pp"
"Simulacrum Synthesizer","U","M","22349","4.80","2712","7.28","1288","8.0%","46.9%","253","","374","","627","51.4%","654","42.7%","8.7pp"
"Worldwalker Helm","U","M","26624","5.48","3165","8.51","664","3.5%","44.7%","115","","164","","279","","381","",""
"Greed's Gambit","B","M","24541","4.97","3093","7.53","3210","17.5%","51.2%","518","46.7%","812","52.7%","1330","50.4%","1868","51.5%","-1.1pp"
"Harvester of Misery","B","M","7237","1.66","4659","1.68","26450","92.9%","55.9%","4570","57.5%","6994","63.2%","11564","61.0%","14679","51.8%","9.2pp"
"Hostile Investigator","B","M","7231","1.64","4932","1.68","29113","94.5%","57.4%","5104","63.0%","7513","62.9%","12617","62.9%","16270","53.0%","9.9pp"
"Generous Plunderer","R","M","11515","2.48","3394","2.81","17556","84.2%","55.3%","3207","62.4%","4095","56.0%","7302","58.8%","10247","52.8%","6.0pp"
"Legion Extruder","R","M","14185","3.06","3064","3.64","12449","68.4%","53.0%","2138","52.1%","2912","56.6%","5050","54.7%","7378","51.8%","2.9pp"
"Memory Vessel","R","M","29188","5.96","3446","9.15","237","1.1%","","41","","57","","98","","139","",""
"Molten Duplication","R","M","23578","4.93","2430","7.86","1611","11.3%","46.8%","229","","384","","613","45.8%","994","47.3%","-1.4pp"
"Territory Forge","R","M","27962","5.87","3256","9.09","285","1.5%","","47","","69","","116","","169","",""
"Ancient Cornucopia","G","M","17187","3.60","2941","4.80","10050","58.2%","51.0%","1814","50.7%","2408","50.9%","4222","50.8%","5797","51.0%","-0.2pp"
"Bristlebud Farmer","G","M","6427","1.44","4840","1.45","28646","94.4%","57.6%","5014","63.3%","7058","62.4%","12072","62.7%","16402","53.8%","9.0pp"
"Omenpath Journey","G","M","22767","4.70","3079","6.93","4972","27.4%","49.7%","841","48.5%","1194","51.2%","2035","50.1%","2920","49.2%","0.8pp"
"Sandstorm Salvager","G","M","6683","1.54","4642","1.57","27062","94.0%","57.0%","4829","61.0%","6458","60.7%","11287","60.9%","15673","54.2%","6.6pp"
"Vaultborn Tyrant","G","M","5876","1.35","4637","1.35","27898","95.3%","58.1%","4588","61.2%","6967","65.9%","11555","64.1%","15979","53.5%","10.6pp"
"Loot, the Key to Everything","URG","M","21341","4.47","3196","6.27","5339","28.5%","51.1%","820","49.8%","1409","55.9%","2229","53.7%","3094","49.1%","4.6pp"
"Pest Control","WB","M","27374","5.51","3326","8.59","542","2.7%","44.1%","94","","140","","234","","308","",""
"Lost Jitte","","M","8031","1.84","3172","1.88","17243","91.4%","53.3%","3109","56.3%","4094","54.6%","7203","55.3%","9998","51.7%","3.6pp"
"Lotus Ring","","M","12734","2.81","3130","3.22","15088","80.4%","54.2%","2597","55.2%","3708","56.5%","6305","56.0%","8738","52.8%","3.1pp"
"Nexus of Becoming","","M","8900","2.04","4829","2.06","27760","94.2%","55.4%","4723","56.9%","7089","58.7%","11812","58.0%","15846","53.5%","4.5pp"
"Sword of Wealth and Power","","M","6720","1.55","3260","1.58","17841","93.8%","51.7%","3014","51.2%","4548","53.2%","7562","52.4%","10239","51.1%","1.3pp"
"Torpor Orb","","M","28760","5.88","3394","9.20","110","0.5%","","28","","26","","54","","56","",""
"Transmutation Font","","M","21818","4.39","3066","6.30","7055","39.5%","51.0%","1196","46.7%","1791","52.1%","2987","50.0%","4057","51.6%","-1.6pp"
"Fomori Vault","","M","27814","5.63","3302","8.72","1592","8.1%","50.3%","262","","368","","630","50.2%","959","50.2%","0.0pp"
"Tarnation Vista","","M","16002","3.09","3367","4.11","18030","90.4%","52.9%","3379","55.1%","4410","51.2%","7789","52.9%","10210","52.9%","-0.1pp"
"Fell the Mighty","W","R","22114","3.03","5762","3.53","27572","79.6%","53.9%","4429","53.0%","6742","57.2%","11171","55.5%","16350","52.8%","2.8pp"
"Fierce Retribution","W","U","119762","4.01","20326","5.56","98241","80.6%","53.9%","16556","52.8%","24067","56.1%","40623","54.7%","57471","53.2%","1.5pp"
"Journey to Nowhere","W","U","71966","2.55","27575","2.91","157522","93.0%","56.0%","27347","56.6%","38537","59.6%","65884","58.4%","91444","54.2%","4.2pp"
"Leyline Binding","W","M","10506","2.84","3381","3.27","17626","86.3%","54.6%","2953","54.5%","4384","58.0%","7337","56.6%","10265","53.2%","3.4pp"
"Pariah","W","R","39942","5.54","4250","8.81","4897","19.3%","50.0%","784","46.0%","1202","51.8%","1986","49.5%","2910","50.3%","-0.8pp"
"Path to Exile","W","R","16725","2.33","5884","2.59","31821","90.3%","54.6%","5436","54.1%","7839","58.0%","13275","56.4%","18480","53.3%","3.1pp"
"Archive Trap","U","R","32260","4.45","7450","5.26","22290","50.7%","52.9%","3649","51.7%","6611","61.1%","10260","57.8%","11835","48.3%","9.4pp"
"Archmage's Charm","U","R","38563","5.13","5380","7.57","10838","33.9%","52.0%","1729","51.9%","3073","56.9%","4802","55.1%","5998","49.3%","5.8pp"
"Commandeer","U","R","43996","6.04","5170","9.37","1824","5.9%","46.3%","295","","525","47.0%","820","45.9%","998","46.7%","-0.8pp"
"Essence Capture","U","U","155411","5.67","23605","7.88","82760","59.4%","52.6%","13702","53.8%","23396","56.8%","37098","55.7%","45251","50.0%","5.7pp"
"Mana Drain","U","M","8319","2.41","3461","2.49","17396","84.2%","54.3%","2975","59.6%","4923","59.3%","7898","59.4%","9378","49.9%","9.5pp"
"Mindbreak Trap","U","M","21165","5.71","2604","8.71","798","5.1%","48.5%","112","","219","","331","","461","",""
"Repulse","U","U","116339","3.92","29507","4.85","152169","86.1%","54.1%","26444","54.0%","42471","59.6%","68915","57.4%","82524","51.2%","6.3pp"
"Heartless Pillage","B","U","160485","5.73","21265","8.51","61236","48.7%","52.8%","10248","53.1%","16026","55.4%","26274","54.5%","34811","51.4%","3.2pp"
"Imp's Mischief","B","R","39813","5.43","4632","8.29","6942","25.8%","47.5%","1093","43.7%","1750","49.5%","2843","47.3%","4085","47.6%","-0.3pp"
"Murder","B","U","87991","3.07","25390","3.67","138929","91.8%","53.9%","23761","53.7%","36656","58.3%","60417","56.5%","78018","51.9%","4.5pp"
"Overwhelming Forces","B","M","7096","2.18","3961","2.13","22716","91.9%","57.5%","3584","60.5%","6198","67.1%","9782","64.7%","12684","51.5%","13.2pp"
"Reanimate","B","R","16560","2.36","6590","2.54","34181","88.6%","52.6%","5669","51.5%","8935","55.0%","14604","53.6%","19426","51.7%","2.0pp"
"Surgical Extraction","B","R","45996","6.33","5115","9.85","351","1.1%","","60","","103","","163","","188","",""
"Thoughtseize","B","M","11942","3.20","2455","4.06","10826","74.2%","53.1%","1916","54.3%","2882","56.1%","4798","55.4%","5984","51.2%","4.2pp"
"Collective Defiance","R","R","23624","3.17","4983","3.95","24428","82.4%","53.6%","3895","53.8%","5912","56.4%","9807","55.4%","14580","52.4%","3.0pp"
"Crackle with Power","R","M","11148","3.18","3094","3.59","15118","80.9%","54.4%","2292","53.6%","3778","61.1%","6070","58.3%","9008","51.6%","6.7pp"
"Electrodominance","R","R","25303","3.41","4427","4.33","20277","77.8%","52.1%","3157","49.5%","4948","55.2%","8105","53.0%","12130","51.5%","1.5pp"
"Fling","R","U","178596","7.00","19618","10.50","22402","19.3%","51.4%","3340","48.3%","5156","52.4%","8496","50.8%","13878","51.7%","-0.9pp"
"Indomitable Creativity","R","M","21572","5.94","2506","9.23","316","2.1%","","41","","70","","111","","205","",""
"Skewer the Critics","R","U","119326","4.01","19579","5.47","95710","82.5%","52.9%","15855","52.3%","23352","54.1%","39207","53.4%","56370","52.5%","0.9pp"
"Skullcrack","R","R","41233","5.81","4053","9.19","3155","13.2%","46.7%","496","","712","46.8%","1208","45.6%","1943","47.2%","-1.6pp"
"Clear Shot","G","U","80620","2.79","31643","3.23","179489","93.3%","55.7%","30028","55.1%","42925","58.9%","72953","57.4%","105924","54.5%","2.9pp"
"Force of Vigor","G","M","19923","5.26","2269","8.27","820","6.1%","48.7%","119","","202","","321","","498","",""
"Pest Infestation","G","R","17426","2.44","10035","2.55","57276","92.5%","56.6%","9390","57.8%","14318","63.0%","23708","60.9%","33287","53.4%","7.6pp"
"Primal Command","G","R","22366","3.02","7364","3.51","36832","82.7%","55.4%","5811","54.1%","8923","59.8%","14734","57.5%","22018","54.0%","3.5pp"
"Primal Might","G","R","15909","2.20","7586","2.40","43044","92.7%","55.7%","6903","55.8%","10382","59.4%","17285","57.9%","25604","54.1%","3.9pp"
"Thornado","G","U","180781","6.72","22660","10.02","37800","27.8%","52.0%","6222","49.1%","8680","50.8%","14902","50.1%","22786","53.3%","-3.2pp"
"Abrupt Decay","BG","R","30393","3.94","6353","5.20","27471","72.6%","54.3%","4629","54.6%","6927","58.2%","11556","56.8%","15794","52.4%","4.4pp"
"Anguished Unmaking","WB","M","15204","4.03","2637","5.46","9583","61.7%","52.2%","1578","51.6%","2440","54.8%","4018","53.5%","5544","51.1%","2.5pp"
"Back for More","BG","U","114340","3.98","33591","4.83","160253","79.0%","54.9%","24930","53.7%","40397","58.6%","65327","56.7%","94281","53.5%","3.2pp"
"Bedevil","BR","R","32534","4.32","5066","6.00","19672","66.0%","51.8%","3163","50.5%","4976","54.4%","8139","52.9%","11466","50.9%","2.0pp"
"Buried in the Garden","WG","U","84327","2.99","33871","3.36","184932","88.6%","56.6%","31171","58.0%","44368","60.6%","75539","59.5%","108976","54.6%","4.9pp"
"Crime // Punishment","WBG","M","14017","3.89","2867","4.99","10240","60.7%","52.5%","1584","52.7%","2611","55.3%","4195","54.3%","5994","51.4%","2.9pp"
"Cruel Ultimatum","UBR","R","32874","4.54","7479","5.43","23885","53.0%","54.3%","3783","55.7%","6926","64.1%","10709","61.2%","12903","48.1%","13.1pp"
"Decimate","RG","R","44637","6.42","5020","9.98","1236","4.1%","47.2%","186","","302","","488","","747","50.2%",""
"Decisive Denial","UG","U","169972","6.35","23150","9.22","57014","41.5%","52.3%","9126","50.4%","14637","55.5%","23763","53.5%","32715","51.1%","2.4pp"
"Detention Sphere","WU","R","31093","4.10","6118","5.30","23490","64.9%","52.3%","3834","52.0%","6489","56.6%","10323","54.9%","13089","50.1%","4.8pp"
"Endless Detour","WUG","R","47151","6.39","6249","9.51","5633","14.8%","53.4%","931","53.4%","1484","57.0%","2415","55.6%","3185","51.6%","4.0pp"
"Fractured Identity","WU","M","7463","2.24","4242","2.22","23625","90.8%","56.2%","3873","59.6%","6508","64.9%","10381","62.9%","13084","50.8%","12.1pp"
"Hindering Light","WU","U","182927","7.53","20999","11.07","17599","14.1%","48.0%","2825","45.4%","4795","50.9%","7620","48.9%","9938","47.2%","1.7pp"
"Humiliate","WB","U","176756","6.81","26271","9.54","58947","37.3%","55.1%","9898","57.6%","14847","57.8%","24745","57.7%","34148","53.1%","4.6pp"
"Hypothesizzle","UR","U","154138","5.65","24790","7.75","81650","56.2%","51.2%","13019","50.4%","22429","55.0%","35448","53.3%","45917","49.4%","3.9pp"
"Ionize","UR","R","40278","5.49","5569","8.03","12571","38.2%","51.3%","2066","50.2%","3609","57.4%","5675","54.8%","6841","48.2%","6.6pp"
"Oko, Thief of Crowns","UG","M","4295","1.34","3576","1.33","21107","94.3%","56.9%","3788","64.6%","5411","63.9%","9199","64.2%","11727","51.0%","13.2pp"
"Outlaws' Merriment","WR","R","19403","2.83","6586","3.07","32773","82.3%","54.6%","5506","59.0%","7821","56.9%","13327","57.8%","19430","52.3%","5.5pp"
"Ride Down","WR","U","172576","6.62","20142","9.76","40963","33.9%","53.8%","6344","51.8%","9033","53.9%","15377","53.0%","25576","54.3%","-1.3pp"
"Savage Smash","RG","U","148566","5.20","22708","7.36","84865","62.4%","53.6%","13605","51.3%","19246","53.8%","32851","52.8%","51876","54.1%","-1.3pp"
"Siphon Insight","UB","R","31380","4.20","6470","5.47","26771","70.0%","52.8%","4568","52.1%","7614","57.9%","12182","55.8%","14475","50.3%","5.4pp"
"Terminal Agony","BR","U","155479","5.61","20917","8.15","68816","55.6%","52.2%","11056","50.4%","17656","55.3%","28712","53.4%","39858","51.3%","2.1pp"
"Tyrant's Scorn","UB","U","144827","5.13","28045","6.70","117878","70.4%","53.7%","20233","54.5%","33866","59.3%","54099","57.5%","63203","50.3%","7.2pp"
"Vanishing Verse","WB","R","32314","4.31","6539","5.56","28225","70.8%","55.5%","4814","56.4%","7298","60.3%","12112","58.8%","16050","53.1%","5.7pp"
"Villainous Wealth","UBG","R","26053","3.65","7902","4.17","35800","77.3%","52.1%","5674","48.0%","9874","57.5%","15548","54.0%","19718","50.1%","4.0pp"
"Void Rend","WUB","R","43370","5.85","6063","8.60","9604","26.7%","51.0%","1610","48.9%","2704","57.5%","4314","54.3%","5249","48.1%","6.1pp"
"Voidslime","UG","R","45069","6.22","5683","9.42","5575","16.5%","50.3%","911","44.7%","1399","56.6%","2310","51.9%","3216","48.9%","3.0pp"
"Contagion Engine","","M","8349","2.50","3013","2.69","15225","85.7%","52.3%","2424","48.8%","3962","55.7%","6386","53.1%","8806","51.7%","1.4pp"
"Grindstone","","M","17751","4.84","1994","7.42","2684","23.0%","45.8%","485","","733","46.8%","1218","42.6%","1463","48.5%","-5.9pp"
"Mindslaver","","M","12715","3.61","2438","4.52","8541","60.4%","50.8%","1360","48.5%","2211","52.3%","3571","50.8%","4955","50.8%","0.0pp"
"Unlicensed Hearse","","R","22917","3.07","5344","3.73","25943","82.1%","52.1%","4508","51.8%","6527","53.9%","11035","53.0%","14897","51.3%","1.7pp"
"Dust Bowl","","R","47606","6.61","5392","10.23","1658","5.1%","49.8%","286","","387","","673","47.3%","982","51.5%","-4.3pp"
