"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Magda, the Hoardmaster","R","R","22002","1.83","10133","1.88","54703","91.1%","53.1%","9860","57.0%","13362","54.3%","23222","55.5%","31413","51.4%","4.1pp"
"Magebane Lizard","R","U","188173","7.54","18264","11.46","9215","8.5%","49.7%","1567","46.4%","2071","46.7%","3638","46.6%","5576","51.7%","-5.1pp"
"Mine Raider","R","C","433344","6.36","50025","9.31","159000","53.6%","52.0%","27149","51.0%","37032","52.1%","64181","51.6%","94718","52.3%","-0.7pp"
"Outlaws' Fury","R","C","476167","8.25","51995","11.86","47963","15.5%","52.7%","7347","50.4%","10623","52.9%","17970","51.9%","29973","53.1%","-1.2pp"
"Prickly Pair","R","C","373470","5.07","61128","6.91","290410","79.2%","54.0%","50554","54.7%","67133","54.2%","117687","54.4%","172535","53.8%","0.7pp"
"Quick Draw","R","C","476582","8.33","48790","12.13","27985","9.6%","50.8%","4283","48.9%","6315","50.1%","10598","49.6%","17360","51.6%","-2.0pp"
"Quilled Charger","R","C","455358","7.00","51415","10.28","119455","39.1%","52.5%","19437","51.0%","26736","51.8%","46173","51.5%","72893","53.1%","-1.6pp"
"Reckless Lackey","R","C","440569","6.78","46075","9.98","119486","43.9%","52.3%","20969","54.2%","27151","50.9%","48120","52.3%","71299","52.2%","0.1pp"
"Resilient Roadrunner","R","U","152829","5.18","22302","7.22","90024","67.7%","53.5%","15745","54.3%","20495","53.1%","36240","53.6%","53783","53.5%","0.2pp"
"Return the Favor","R","U","183579","7.11","19818","10.58","20224","17.3%","49.5%","3086","46.2%","4823","49.6%","7909","48.3%","12278","50.2%","-2.0pp"
"Rodeo Pyromancers","R","C","460709","7.67","42912","11.58","37548","14.9%","48.0%","5907","47.6%","9382","47.9%","15289","47.8%","22281","48.1%","-0.3pp"
"Scalestorm Summoner","R","U","114350","3.81","22345","4.93","107800","80.0%","54.6%","18685","57.5%","24320","53.9%","43005","55.5%","64845","54.0%","1.5pp"
"Scorching Shot","R","U","115482","3.83","21508","5.02","108207","84.2%","53.7%","17912","53.4%","25837","55.6%","43749","54.7%","64328","53.0%","1.7pp"
"Slickshot Show-Off","R","R","31927","2.62","7526","2.89","34333","78.5%","51.4%","6145","52.3%","8247","51.7%","14392","51.9%","19909","51.0%","0.9pp"
"Stingerback Terror","R","R","20106","1.69","11300","1.69","64094","93.1%","55.3%","11182","57.7%","15713","59.9%","26895","59.0%","37058","52.5%","6.5pp"
"Take for a Ride","R","U","179932","6.66","22203","9.68","37392","28.6%","51.2%","5811","49.0%","8723","52.4%","14534","51.0%","22798","51.2%","-0.2pp"
"Terror of the Peaks","R","M","7509","1.28","5655","1.26","31653","92.7%","54.4%","5309","58.1%","7834","60.8%","13143","59.7%","18324","50.4%","9.3pp"
"Thunder Salvo","R","C","381602","5.23","54162","7.38","229809","71.6%","52.8%","39349","52.4%","55382","53.9%","94731","53.3%","134674","52.4%","0.8pp"
"Trick Shot","R","C","460282","7.28","50515","10.74","81722","27.1%","51.7%","12548","49.3%","19499","53.5%","32047","51.8%","49584","51.6%","0.2pp"
"Aloe Alchemist","G","U","89551","2.94","30193","3.51","172777","93.3%","56.1%","30609","57.6%","39863","57.3%","70472","57.4%","101979","55.1%","2.3pp"
"Ankle Biter","G","C","423095","5.95","58017","8.81","215858","61.5%","54.3%","37724","54.9%","49670","53.1%","87394","53.9%","127887","54.6%","-0.7pp"
